molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
6384,MOL006384,lp_ghb_Molecule191_qt.mol2,"4-[(1R,3aS,4R,6aS)-4-(4-hydroxy-3,5-dimethoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[4,3-c]furan-1-yl]-2,6-dimethoxyphenol",3.29171328315,418.480,2.100,0.65641,-0.38557,,2,8,0.72269,0.16330847,黄精,Huangjing
748,MOL000748,fyp_tswlx_Molecule581.mol2,HMF,45.0661024854,126.120,0.672,0.05326,-0.26608,11.7281,1,3,0.019427,0.21778123,黄精,Huangjing
8,MOL000008,fyp_bdh_Molecule5_qt.mol2,apigenin,23.062161017,270.250,2.334,0.42560,-0.61090,,3,5,0.21306,0.40886214,黄精,Huangjing
9752,MOL009752,wy_hj_Molecule879.mol2,"2',7-dihydroxy-3',4'-dimethoxyisoflavane",4.55962367515,300.330,2.946,0.86669,0.07706,,2,5,0.26615,0.25312778,黄精,Huangjing
9753,MOL009753,wy_hj_Molecule881.mol2,4-methylolfurfural,70.8875554484,126.120,0.380,0.11334,-0.18749,4.163,1,3,0.019493,0.23888361,黄精,Huangjing
9754,MOL009754,wy_hj_Molecule883.mol2,Oroxin A,9.58199632596,432.410,0.430,-0.86767,-1.97357,,6,10,0.71732,0.31904981,黄精,Huangjing
9755,MOL009755,wy_hj_Molecule886.mol2,2-Acridinecarboxylic acid,72.8584621179,223.240,2.958,0.72187,0.12648,3.106771,1,3,0.16024,0.47393283,黄精,Huangjing
9756,MOL009756,wy_hj_Molecule897.mol2,liriodendrin,5.18581476614,742.800,-1.708,-2.33686,-3.59563,,8,18,0.29325,0.2082679,黄精,Huangjing
9757,MOL009757,wy_hj_Molecule902.mol2,n-butyl-β-D-fructopyranoside,14.2452475273,236.300,-0.826,-0.78700,-1.22574,,4,6,0.078917,0.2145904,黄精,Huangjing
9758,MOL009758,wy_hj_Molecule903.mol2,"2-Propen-1-one, 1-(2,4-dihydroxyphenyl)-3-(4-(beta-D-glucopyranosyloxy)phenyl)-, (2E)-",12.6049172813,418.430,0.995,-1.00608,-1.99129,,6,9,0.60046,0.36914265,黄精,Huangjing
