molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA
8939,MOL008939,wjn_bwwz_Molecule127.mol2,"(9aS)-2,5,9,9-tetramethyl-3,4,6,7,8,9a-hexahydrobenzo[7]annulene",45.3596818729,204.390,4.894,1.85938,2.04920,5.003947,0,0,0.079768,0.2479815
8940,MOL008940,wjn_bwwz_Molecule128.mol2,γ-Cadinene,21.3353612144,204.390,4.799,1.84809,2.09379,,0,0,0.077436,0.27426767
8941,MOL008941,wjn_bwwz_Molecule15.mol2,"(E)-9-Isopropyl-6-methyl-5,9-decadiene-2-one",60.2545711787,208.380,3.926,1.44863,1.43577,4.608022,0,1,0.048444,0.31452653
8942,MOL008942,wjn_bwwz_Molecule16.mol2,"1,1alpha,4,5,6,7,7alpha,7beta-Octahydro-1,1,7,7alpha-tetramethyl-2H-cyclopropa (alpha)-naphthalen-2-one",43.9126857638,218.370,3.193,1.29883,1.39520,2.13103,0,1,0.13008,0.29239497
8943,MOL008943,wjn_bwwz_Molecule17.mol2,"1,2,3,3alpha,8,8alpha-Hexahydro-2,2,8-trimethyl-5,6-azulenedimethanol",12.1598999042,236.390,2.314,0.56411,0.29999,,2,2,0.10248,0.20969452
8944,MOL008944,wjn_bwwz_Molecule18.mol2,"1-(1,5-Dimethyl-4-hexenyl)-4-methyl benzene",30.9421152921,208.430,5.775,1.82963,2.12101,4.538497,0,0,0.053922,0.21825898
8945,MOL008945,wjn_bwwz_Molecule19.mol2,Benzoylacetone,28.1067091768,162.200,1.341,1.10356,1.12297,,0,2,0.035608,0.43138868
8946,MOL008946,wjn_bwwz_Molecule2.mol2,Schisanhenol,8.01862677837,402.530,5.016,1.00877,0.69477,,1,6,0.58537,0.13573974
8947,MOL008947,wjn_bwwz_Molecule20.mol2,"2,4-Dimethyl-6(3-methyl-isobuten-5-isopropyl)-phenyl-3,5 hexanedione",6.05764753149,328.540,6.263,1.30262,1.04086,,1,2,0.19271,0.32131845
8948,MOL008948,wjn_bwwz_Molecule21.mol2,3-carbomethoxy-3-hydroxy-glutaric acid,28.8190725288,206.170,-1.144,-0.90458,-1.26974,,3,7,0.053216,0.35145074
8949,MOL008949,wjn_bwwz_Molecule22.mol2,3-Methyl betuletol,22.1952478975,346.360,-0.454,0.33463,-0.36128,,2,7,0.3619,0.22448818
8950,MOL008950,wjn_bwwz_Molecule23.mol2,3-Phenyldecane,5.18506255158,218.420,6.218,1.87448,2.01964,,0,0,0.063432,0.26024288
8951,MOL008951,wjn_bwwz_Molecule24.mol2,3alpha-Tigloyloxytropane,90.823869326,223.350,2.197,1.00445,1.12390,0.737492,0,3,0.084871,0.29323989
8952,MOL008952,wjn_bwwz_Molecule25.mol2,"4,7-dimethyl-7-(4-methylpent-3-enyl)bicyclo[2.2.1]heptan-3-ol",24.9574379483,222.410,3.802,1.39750,1.41372,,1,1,0.093913,0.25379488
8953,MOL008953,wjn_bwwz_Molecule26.mol2,"4-Ethenyl-2,2,4-trimethyl-3-(1-methylethenyl)-cyclo-hexane-methanol",39.6661454461,222.410,3.576,1.30771,1.35933,10.02746,1,1,0.077172,0.26469207
8954,MOL008954,wjn_bwwz_Molecule3.mol2,SMR000445689,9.51634109287,386.480,4.817,0.90004,0.55019,,1,6,0.70798,0.18505266
8955,MOL008955,wjn_bwwz_Molecule31.mol2,Angeloylgomisin H,7.507978149,500.640,5.381,0.58131,0.0274,,1,8,0.80819,0.16792136
8956,MOL008956,wjn_bwwz_Molecule32.mol2,Angeloylgomisin O,31.9653894482,498.620,5.959,0.83020,0.40534,7.997863,0,8,0.84763,0.21411294
