molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin
9678,MOL009678,wy_gqz_Molecule711.mol2,lanost-8-enol,34.2263037274,428.820,8.370,1.37090,1.11770,6.413942,1,1,0.74167,0.22185917,枸杞子,Gouqizi
9681,MOL009681,wy_gqz_Molecule723.mol2,Obtusifoliol,42.5520022229,426.800,8.152,1.46931,1.25222,5.91285,1,1,0.7565,0.23843822,枸杞子,Gouqizi
98,MOL000098,fyp_cg_Molecule36_qt.mol2,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,14.400548,5,7,0.27525,0.38453352,枸杞子,Gouqizi
10300,MOL010300,wy_ss_Molecule770.mol2,dIDP,41.0780671019,446.740,9.264,0.91140,0.26334,1.961793,0,4,0.56954,0.28196535,桑葚,Sangshen
2372,MOL002372,lbh_fxy_Molecule30.mol2,"(6Z,10E,14E,18E)-2,6,10,15,19,23-hexamethyltetracosa-2,6,10,14,18,22-hexaene",33.5459426365,410.800,11.331,2.07256,1.76597,3.149533,0,0,0.42436,0.26638508,桑葚,Sangshen
6209,MOL006209,lmm_zs_Molecule029.mol2,cyanin,47.4209226916,411.660,7.077,1.78221,0.99102,2.723773,0,1,0.75918,0.27626067,桑葚,Sangshen
737,MOL000737,fyp_sz_Molecule112.mol2,morin,46.2295855512,302.250,1.504,0.00286,-0.77000,15.513617,5,7,0.27457,0.40938485,桑葚,Sangshen
2773,MOL002773,lbh_hh_Molecule72.mol2,beta-carotene,37.1843333711,536.960,11.999,2.25156,1.52266,4.357938,0,0,0.58358,0.3253943,桑葚,Sangshen
98,MOL000098,fyp_cg_Molecule36_qt.mol2,quercetin,46.4333481195,302.250,1.504,0.04842,-0.76890,14.400548,5,7,0.27525,0.38453352,桑葚,Sangshen
358,MOL000358,fyp_hjs_Molecule461_qt.mol2,beta-sitosterol,36.9139058327,414.790,8.084,1.32463,0.98588,5.355491,1,1,0.75123,0.22550575,当归,Danggui
