molecule_ID,MOL_ID,file_ID,molecule_name,ob,mw,alogp,caco2,bbb,halflife,hdon,hacc,dl,FASA,herb_cn,herb_pinyin,SMILES,PubChem_CID,molecule_name_cn
9612.0,MOL009612,wy_gqz_Molecule561.mol2,"(24R)-4alpha-Methyl-24-ethylcholesta-7,25-dien-3beta-ylacetate",46.3574992546,482.87,8.793,1.39199,0.99718,8.246643,0.0,2.0,0.8398,0.26376513,枸杞子,Gouqizi,,,
9615.0,MOL009615,wy_gqz_Molecule564.mol2,"24-Methylenecycloartan-3beta,21-diol",37.3172816187,456.83,6.701,0.94675,0.29732,5.670619,2.0,2.0,0.79751,0.226999,枸杞子,Gouqizi,,,
9617.0,MOL009617,wy_gqz_Molecule567.mol2,24-ethylcholest-22-enol,37.0945408649,414.79,7.89,1.33358,0.99239,5.320231,1.0,1.0,0.7511,0.21276975,枸杞子,Gouqizi,CCC(C=CC(C)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C)C(C)CO,129725503.0,
9618.0,MOL009618,wy_gqz_Molecule568.mol2,"24-ethylcholesta-5,22-dienol",43.8298515785,412.77,7.64,1.31182,0.83918,5.761295,1.0,1.0,0.75636,0.21982016,枸杞子,Gouqizi,CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCCC4)C)C)C(C)CO,69473919.0,
9620.0,MOL009620,wy_gqz_Molecule570.mol2,24-methyl-31-norlanost-9(11)-enol,37.9996853037,428.82,8.153,1.32891,0.93218,5.487178,1.0,1.0,0.75092,0.23194796,枸杞子,Gouqizi,,,
9621.0,MOL009621,wy_gqz_Molecule573.mol2,24-methylenelanost-8-enol,42.3681986806,440.83,8.426,1.44305,1.18394,5.427593,1.0,1.0,0.76769,0.24932098,枸杞子,Gouqizi,,,
9622.0,MOL009622,wy_gqz_Molecule574.mol2,Fucosterol,43.77639556,412.77,7.834,1.33891,1.01263,5.435691,1.0,1.0,0.75668,0.23920399,枸杞子,Gouqizi,CC=C(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,5281328.0,墨角藻甾醇
9631.0,MOL009631,wy_gqz_Molecule586.mol2,31-Norcyclolaudenol,38.6820961412,440.83,8.042,1.35248,0.93779,4.880158,1.0,1.0,0.81391,0.25353551,枸杞子,Gouqizi,,,
9633.0,MOL009633,wy_gqz_Molecule588.mol2,31-norlanost-9(11)-enol,38.3539413677,414.79,7.902,1.33752,1.02901,5.371659,1.0,1.0,0.7249,0.22289726,枸杞子,Gouqizi,,,
9634.0,MOL009634,wy_gqz_Molecule589.mol2,31-norlanosterol,42.2046205498,412.77,7.846,1.40126,1.02731,5.268427,1.0,1.0,0.73012,0.23709071,枸杞子,Gouqizi,CC1C2CCC3=C(C2(CCC1O)C)CCC4(C3(CCC4C(C)CCC=C(C)C)C)C,102179328.0,
9635.0,MOL009635,wy_gqz_Molecule590.mol2,"4,24-methyllophenol",37.8346743267,414.79,7.947,1.42778,1.09906,4.902231,1.0,1.0,0.74999,0.21949597,枸杞子,Gouqizi,,,
9639.0,MOL009639,wy_gqz_Molecule596.mol2,Lophenol,38.12940252,400.76,7.695,1.36486,1.09998,4.757872,1.0,1.0,0.714,0.20398965,枸杞子,Gouqizi,CC1C(CCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCCC(C)C)C)C)O,160482.0,环木菠萝甾醇
9640.0,MOL009640,wy_gqz_Molecule597.mol2,"4alpha,14alpha,24-trimethylcholesta-8,24-dienol",38.909889728,426.8,8.293,1.39949,1.0576,6.674022,1.0,1.0,0.75772,0.24017581,枸杞子,Gouqizi,CC1CCCC2(C1CCC3=C2CCC4(C3(CCC4C(C)CCC(=C(C)CO)C)C)C)C,129716078.0,
9641.0,MOL009641,wy_gqz_Molecule598.mol2,"4alpha,24-dimethylcholesta-7,24-dienol",42.6530409847,412.77,7.892,1.4312,0.97601,5.439695,1.0,1.0,0.75297,0.23145935,枸杞子,Gouqizi,CC1CCCC2(C1CC=C3C2CCC4(C3CCC4C(C)CCC(=C(C)CO)C)C)C,129726843.0,
9642.0,MOL009642,wy_gqz_Molecule599.mol2,"4alpha-methyl-24-ethylcholesta-7,24-dienol",42.2950945349,426.8,8.348,1.44898,1.08442,5.830477,1.0,1.0,0.78304,0.22690836,枸杞子,Gouqizi,CCC(=C(C)CO)CCC(C)C1CCC2C1(CCC3C2=CCC4C3(CCCC4C)C)C,66727568.0,
9644.0,MOL009644,wy_gqz_Molecule602.mol2,6-Fluoroindole-7-Dehydrocholesterol,43.726025126,402.7,7.036,1.0337,0.54449,5.103118,1.0,2.0,0.72224,0.23734142,枸杞子,Gouqizi,,,
