Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Phosphorylation (GO:0016310),6/429,0.0011216628411438,0.0080375508561526,0,0,5.651179620784484,38.388141132249885,GSK3B;CDK4;CDK2;PRKCA;MTOR;CDC25B
GO_Biological_Process_2023,Positive Regulation Of Neurogenesis (GO:0050769),3/75,0.001155096308952,0.0082316478720373,0,0,15.923878205128204,107.702289659327,OPRM1;DRD2;VEGFA
GO_Biological_Process_2023,Organonitrogen Compound Catabolic Process (GO:1901565),3/78,0.0012938246113639,0.0091698935570436,0,0,15.284615384615384,101.6450252290166,ACHE;BCHE;MTOR
GO_Biological_Process_2023,Cellular Response To UV (GO:0034644),3/79,0.0013422923389401,0.00941055764111,0,0,15.082742914979756,99.74785643183012,MMP3;MAPK14;TP53
GO_Biological_Process_2023,Negative Regulation Of Cellular Component Organization (GO:0051129),3/79,0.0013422923389401,0.00941055764111,0,0,15.082742914979756,99.74785643183012,OPRD1;GSK3B;VEGFA
GO_Biological_Process_2023,Cellular Response To Estradiol Stimulus (GO:0071392),2/20,0.0013666584956143,0.0095298713376977,0,0,41.77568134171908,275.5267677897696,ESR1;EGFR
GO_Biological_Process_2023,Regulation Of Cytokinesis (GO:0032465),3/80,0.0013918891757704,0.0096539051388996,0,0,14.886113886113886,97.9073604295734,DRD2;DRD3;CDC25B
GO_Biological_Process_2023,Regulation Of Interleukin-8 Production (GO:0032677),3/81,0.0014426249462319,0.0098999182818138,0,0,14.694526627218934,96.12117397495804,IL10;CRP;IL6
GO_Biological_Process_2023,Positive Regulation Of Growth (GO:0045927),3/81,0.0014426249462319,0.0098999182818138,0,0,14.694526627218934,96.12117397495804,EGFR;IL2;MTOR
GO_Biological_Process_2023,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),4/179,0.0014824543291079,0.0100808870974944,0,0,8.860504201680673,57.71782263346279,ADRA1D;PRKCA;OPRM1;EGFR
GO_Biological_Process_2023,Sodium Ion Transmembrane Transport (GO:0035725),3/82,0.0014945093736871,0.0100808870974944,0,0,14.507789678675756,94.3870602268694,SCN5A;SLC6A2;SLC6A4
GO_Biological_Process_2023,Regulation Of Lipid Storage (GO:0010883),2/21,0.0015078582088773,0.0100808870974944,0,0,39.57497517378352,257.1211876509781,CRP;IL6
GO_Biological_Process_2023,Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043),2/21,0.0015078582088773,0.0100808870974944,0,0,39.57497517378352,257.1211876509781,IL10;ADRA2A
GO_Biological_Process_2023,Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),2/21,0.0015078582088773,0.0100808870974944,0,0,39.57497517378352,257.1211876509781,CDK4;CDC25B
GO_Biological_Process_2023,Negative Regulation Of Protein Localization To Nucleus (GO:1900181),2/22,0.0016557246776615,0.0108551715158201,0,0,37.59433962264151,240.73597386560573,GSK3B;MTOR
GO_Biological_Process_2023,Mammary Gland Development (GO:0030879),2/22,0.0016557246776615,0.0108551715158201,0,0,37.59433962264151,240.73597386560573,CAV1;VEGFA
GO_Biological_Process_2023,Negative Regulation Of Cell Development (GO:0010721),2/22,0.0016557246776615,0.0108551715158201,0,0,37.59433962264151,240.73597386560573,GSK3B;IL6
GO_Biological_Process_2023,Positive Regulation Of Endothelial Cell Migration (GO:0010595),3/85,0.0016571503162161,0.0108551715158201,0,0,13.974906191369604,89.47651458269102,PRKCA;MAPK14;VEGFA
GO_Biological_Process_2023,Regulation Of DNA-templated Transcription (GO:0006355),13/1922,0.0017651351825694,0.0115044237778521,0,0,2.924343336077228,18.53895646312819,IL10;NR3C1;MAPK14;ESR1;ADRA2A;EGFR;ESR2;FOSL1;IL6;PGR;NOS1;TP53;RUNX1T1
GO_Biological_Process_2023,Sodium Ion Transport (GO:0006814),3/89,0.0018906584490158,0.0122609200418676,0,0,13.322227191413235,83.54142360214497,SCN5A;SLC6A2;SLC6A4
GO_Biological_Process_2023,Regulation Of Neuroblast Proliferation (GO:1902692),2/24,0.0019713124920084,0.012533295598701,0,0,34.17324185248714,212.86702757999905,DRD2;VEGFA
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle G2/M Phase Transition (GO:1902751),2/24,0.0019713124920084,0.012533295598701,0,0,34.17324185248714,212.86702757999905,CDK4;CDC25B
GO_Biological_Process_2023,Positive Regulation Of Interleukin-17 Production (GO:0032740),2/24,0.0019713124920084,0.012533295598701,0,0,34.17324185248714,212.86702757999905,IL6;IL2
GO_Biological_Process_2023,Positive Regulation Of Vascular Endothelial Growth Factor Production (GO:0010575),2/24,0.0019713124920084,0.012533295598701,0,0,34.17324185248714,212.86702757999905,IL6;PTGS2
GO_Biological_Process_2023,Regulation Of Epithelial Cell Proliferation (GO:0050678),3/91,0.002014713593609,0.0127467489312731,0,0,13.018138111888112,80.80720530815613,SCN5A;EGFR;VEGFA
