Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Morphine addiction,5/91,5.073213618648256e-06,3.7505543537863895e-05,0,0,23.09186046511628,281.5252502763554,GABRA6;PRKCA;ADCY2;OPRM1;DRD1
KEGG_2021_Human,Hepatocellular carcinoma,6/168,6.623346235684241e-06,4.7276988647815096e-05,0,0,14.953136810279668,178.31480831851124,GSK3B;CDK4;PRKCA;TP53;EGFR;MTOR
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,5/100,8.0607185019985e-06,5.382479773915127e-05,0,0,20.894736842105264,245.06408531138771,IL6;CDK4;PRKCA;MAPK14;VEGFA
KEGG_2021_Human,Progesterone-mediated oocyte maturation,5/100,8.0607185019985e-06,5.382479773915127e-05,0,0,20.894736842105264,245.06408531138771,CDK2;PGR;ADCY2;MAPK14;CDC25B
KEGG_2021_Human,C-type lectin receptor signaling pathway,5/104,9.764392008664406e-06,6.021615858352002e-05,0,0,20.04646464646465,231.27141701587777,IL10;IL6;PTGS2;MAPK14;IL2
KEGG_2021_Human,T cell receptor signaling pathway,5/104,9.764392008664406e-06,6.021615858352002e-05,0,0,20.04646464646465,231.27141701587777,IL10;GSK3B;CDK4;MAPK14;IL2
KEGG_2021_Human,Cocaine addiction,4/49,9.890576772172373e-06,6.021615858352002e-05,0,0,34.68409586056645,399.69702674790057,MAOB;MAOA;DRD1;DRD2
KEGG_2021_Human,HIF-1 signaling pathway,5/109,1.2276147867727566e-05,7.260464596056017e-05,0,0,19.077884615384612,215.72990287731952,IL6;PRKCA;EGFR;MTOR;VEGFA
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",5/119,1.879595532462474e-05,0.00010807674311659228,0,0,17.395614035087718,189.2967905573548,GSK3B;PRKCA;ADCY2;MAPK14;MTOR
KEGG_2021_Human,Thyroid hormone signaling pathway,5/121,2.0373589585479e-05,0.0001133994342796831,0,0,17.09396551724138,184.6365561365769,GSK3B;PRKCA;TP53;ESR1;MTOR
KEGG_2021_Human,VEGF signaling pathway,4/59,2.0817287452308973e-05,0.0001133994342796831,0,0,28.363636363636363,305.7522507407689,PRKCA;PTGS2;MAPK14;VEGFA
KEGG_2021_Human,MicroRNAs in cancer,7/310,2.1545004070321945e-05,0.00011435425237324724,0,0,9.453657865786578,101.58301945970302,PRKCA;PTGS2;TP53;EGFR;MTOR;CDC25B;VEGFA
KEGG_2021_Human,Cell cycle,5/124,2.293126534664674e-05,0.00011866929816889688,0,0,16.660504201680673,177.9843209893206,GSK3B;CDK4;CDK2;TP53;CDC25B
KEGG_2021_Human,Rap1 signaling pathway,6/210,2.355668436389e-05,0.0001189325283737861,0,0,11.849339735894358,126.26776030596004,PRKCA;ADCY2;DRD2;MAPK14;EGFR;VEGFA
KEGG_2021_Human,Lipid and atherosclerosis,6/215,2.689057243645721e-05,0.0001325321070082534,0,0,11.562933307294209,121.68524363409252,GSK3B;IL6;MMP3;PRKCA;MAPK14;TP53
KEGG_2021_Human,FoxO signaling pathway,5/131,2.987218468849626e-05,0.00014380330768648197,0,0,15.72936507936508,163.87769229024337,IL10;IL6;CDK2;MAPK14;EGFR
